,t,controller,scenario,rollout,measurement,value,unsafe
445,0.55,Nominal,0,0,PHIDOT,-1.48378934958528,
446,0.55,Nominal,0,0,T1,17.196125637379282,
447,0.55,Nominal,0,0,T2,14.963671618155512,
448,0.56,Nominal,0,0,X,12.013853086567483,
449,0.56,Nominal,0,0,XDOT,-7.616892758880007,
450,0.56,Nominal,0,0,Y,1.141817626786972,
451,0.56,Nominal,0,0,YDOT,-2.57664608136911,
452,0.56,Nominal,0,0,PHI,0.5685947722639244,
453,0.56,Nominal,0,0,PHIDOT,-1.5057792952791862,
454,0.56,Nominal,0,0,T1,17.14295488982313,
455,0.56,Nominal,0,0,T2,15.020440714704584,
456,0.5700000000000001,Nominal,0,0,X,11.937684158978684,
457,0.5700000000000001,Nominal,0,0,XDOT,-7.6785491886404476,
458,0.5700000000000001,Nominal,0,0,Y,1.1160511659732808,
459,0.5700000000000001,Nominal,0,0,YDOT,-2.5637584069919637,
460,0.5700000000000001,Nominal,0,0,PHI,0.5535369793111324,
461,0.5700000000000001,Nominal,0,0,PHIDOT,-1.5266648837992862,
462,0.5700000000000001,Nominal,0,0,T1,17.088161114825354,
463,0.5700000000000001,Nominal,0,0,T2,15.075786677373188,
464,0.58,Nominal,0,0,X,11.860898667092279,
465,0.58,Nominal,0,0,XDOT,-7.7385049007113205,
466,0.58,Nominal,0,0,Y,1.0904135819033611,
467,0.58,Nominal,0,0,YDOT,-2.5498509676109276,
468,0.58,Nominal,0,0,PHI,0.5382703304731393,
469,0.58,Nominal,0,0,PHIDOT,-1.546444365242511,
470,0.58,Nominal,0,0,T1,17.03179376348001,
471,0.58,Nominal,0,0,T2,15.129701268413303,
472,0.59,Nominal,0,0,X,11.783513618085166,
473,0.59,Nominal,0,0,XDOT,-7.796716972456875,
474,0.59,Nominal,0,0,Y,1.0649150722272518,
475,0.59,Nominal,0,0,YDOT,-2.5349461047922968,
476,0.59,Nominal,0,0,PHI,0.5228058868207142,
