,t,controller,scenario,rollout,measurement,value,unsafe
406,0.5,Nominal,0,0,T1,18.144807636889986,
407,0.5,Nominal,0,0,T2,18.393749237060547,
408,0.51,Nominal,0,0,X,2.8937513505562835,
409,0.51,Nominal,0,0,XDOT,6.937482352255073,
410,0.51,Nominal,0,0,Y,6.0676425374762575,
411,0.51,Nominal,0,0,YDOT,-0.9776561017150506,
412,0.51,Nominal,0,0,PHI,-0.1466451589804314,
413,0.51,Nominal,0,0,PHIDOT,1.5616085109688977,
414,0.51,Nominal,0,0,T1,18.19950768746046,
415,0.51,Nominal,0,0,T2,18.393749237060547,
416,0.52,Nominal,0,0,X,2.9631261740788344,
417,0.52,Nominal,0,0,XDOT,6.951932915440778,
418,0.52,Nominal,0,0,Y,6.057865976459107,
419,0.52,Nominal,0,0,YDOT,-0.9299764610082542,
420,0.52,Nominal,0,0,PHI,-0.13102907387074225,
421,0.52,Nominal,0,0,PHIDOT,1.5631987837456751,
422,0.52,Nominal,0,0,T1,18.255169505431326,
423,0.52,Nominal,0,0,T2,18.393749237060547,
424,0.53,Nominal,0,0,X,3.0326455032332422,
425,0.53,Nominal,0,0,XDOT,6.96413436189768,
426,0.53,Nominal,0,0,Y,6.048566211849025,
427,0.53,Nominal,0,0,YDOT,-0.8818074327458824,
428,0.53,Nominal,0,0,PHI,-0.11539708603328558,
429,0.53,Nominal,0,0,PHIDOT,1.5642320797362326,
430,0.53,Nominal,0,0,T1,18.311765689239316,
431,0.53,Nominal,0,0,T2,18.393749237060547,
432,0.54,Nominal,0,0,X,3.102286846852219,
433,0.54,Nominal,0,0,XDOT,6.974075487239025,
434,0.54,Nominal,0,0,Y,6.039748137521566,
435,0.54,Nominal,0,0,YDOT,-0.8331800583237929,
436,0.54,Nominal,0,0,PHI,-0.09975476523592341,
437,0.54,Nominal,0,0,PHIDOT,1.5646991808804644,
438,0.54,Nominal,0,0,T1,18.36926618674927,
439,0.54,Nominal,0,0,T2,18.393749237060547,
440,0.55,Nominal,0,0,X,3.172027601724609,
441,0.55,Nominal,0,0,XDOT,6.981746238938214,
442,0.55,Nominal,0,0,Y,6.031416336938328,
443,0.55,Nominal,0,0,YDOT,-0.7841258685454016,
444,0.55,Nominal,0,0,PHI,-0.08410777342711873,
445,0.55,Nominal,0,0,PHIDOT,1.5645911717182885,
446,0.55,Nominal,0,0,T1,18.393749237060547,
447,0.55,Nominal,0,0,T2,18.393749237060547,
448,0.56,Nominal,0,0,X,3.2418450641139915,
449,0.56,Nominal,0,0,XDOT,6.987126364119294,
450,0.56,Nominal,0,0,Y,6.023575078252874,
451,0.56,Nominal,0,0,YDOT,-0.7348119202029462,
452,0.56,Nominal,0,0,PHI,-0.06846186170993596,
453,0.56,Nominal,0,0,PHIDOT,1.564238356409066,
454,0.56,Nominal,0,0,T1,18.393749237060547,
455,0.56,Nominal,0,0,T2,18.393749237060547,
456,0.5700000000000001,Nominal,0,0,X,3.3117163277551844,
457,0.5700000000000001,Nominal,0,0,XDOT,6.990205532487515,
458,0.5700000000000001,Nominal,0,0,Y,6.016226959050845,
459,0.5700000000000001,Nominal,0,0,YDOT,-0.6853718276757533,
460,0.5700000000000001,Nominal,0,0,PHI,-0.05281947814584509,
461,0.5700000000000001,Nominal,0,0,PHIDOT,1.5638856206596958,
462,0.5700000000000001,Nominal,0,0,T1,18.393749237060547,
463,0.5700000000000001,Nominal,0,0,T2,18.393749237060547,
464,0.58,Nominal,0,0,X,3.3816183830800597,
465,0.58,Nominal,0,0,XDOT,6.990984099319546,
466,0.58,Nominal,0,0,Y,6.009373240774087,
467,0.58,Nominal,0,0,YDOT,-0.6358416809165283,
468,0.58,Nominal,0,0,PHI,-0.037180621939248315,
469,0.58,Nominal,0,0,PHIDOT,1.563532964452237,
470,0.58,Nominal,0,0,T1,18.393749237060547,
471,0.58,Nominal,0,0,T2,18.393749237060547,
472,0.59,Nominal,0,0,X,3.451528224073255,
473,0.59,Nominal,0,0,XDOT,6.9894629830520545,
474,0.59,Nominal,0,0,Y,6.0030148239649215,
475,0.59,Nominal,0,0,YDOT,-0.5862575435989819,
476,0.59,Nominal,0,0,PHI,-0.021545292294725904,
477,0.59,Nominal,0,0,PHIDOT,1.5631803877687531,
478,0.59,Nominal,0,0,T1,18.393749237060547,
